Sentence_ID,Source,Sentence,Label
194,Financial Phrasebank,Finnish department store chain Stockmann Oyj Abp net profit rose to 39.8 mln euro ( $ 56.8 mln ) for the first nine months of 2007 from 37.4 mln euro ( $ 53.4 mln ) for the same period of 2006 .,2
2155,Financial Phrasebank,Net profit in the period in 2009 was ( EURO ) 29 million .,1
757,Financial Phrasebank,"Benefon , a wireless and GPS technology company , will supply Karputer with its TWIG navigation platform , a GPS satellite navigation and voice guidance service .",2
1602,Financial Phrasebank,"Tekla 's software solutions make customers ' core processes more effective in building and construction , energy distribution , infrastructure management and water supply .",1
4774,Financial Phrasebank,"According to the company , its operating profit , excluding non-recurring items , in the fourth quarter of 2009 was significantly better than expected , and also better than the figures for the fourth quarter of 2008 .",2
802,Financial Phrasebank,27 January 2011 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) said today it has won a EUR1 .2 m ( USD1 .6 m ) contract from state-owned Lithuanian Social Insurance Institution ( SODRA ) .,2
101,Financial Phrasebank,"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .",2
4585,Financial Phrasebank,"Operating profit for the six-month period decreased from EUR21m , while net sales increased from EUR436 .9 m , as compared to the corresponding period in 2007 .",0
176,Financial Phrasebank,"Both operating profit and turnover for the six-month period increased , respectively from EUR0 .1 m and EUR29 .0 m , as compared to the corresponding period a year ago .",2
1628,Financial Phrasebank,"The deal , already approved by shareholders , will be carried out in the first half of 2011 .",1
4663,Financial Phrasebank,"Cash flow after investments amounted to EUR45m , down from EUR46m .",0
4440,Financial Phrasebank,"`` We see that the market continues to be tight in magazine papers , and our target is to close the deals by the end of the year . ''",0
721,Financial Phrasebank,"Tiimari , the Finnish retailer , reported to have geenrated quarterly revenues totalling EUR 1.3 mn in the 4th quarter 2009 , up from EUR 0.3 mn loss in 2008 .",2
680,Financial Phrasebank,"ADPnews - Jul 17 , 2009 - Finland-based steel maker Rautaruukki Oyj Ruukki HEL : RTRKS said today it slipped to a net loss of EUR 184 million USD 259.7 m for the first half of 2009 from a net profit of EUR 2",0
4388,Financial Phrasebank,"The Estonian electronic components factory , Elcoteq , is running out of material because of the closure of air traffic .",0
2935,Financial Phrasebank,"HELSINKI ( Thomson Financial ) - M-real said it will exercise an option to buy a 50MW natural gas power plant and land in Kyroskoski , Finland , for around 13 mln eur from Kyro Oyj .",2
4415,Financial Phrasebank,"On top of that , the US Commerce Department published worse-than-expected construction spending figures for November .",0
717,Financial Phrasebank,"Earnings per share ( EPS ) were EUR0 .03 , up from the loss of EUR0 .083 .",2
3527,Financial Phrasebank,"Among paper issues , Stora Enso R was little changed -- up 0.08 pct at 12.03 eur , UPM-Kymmene was 0.48 pct higher at 18.77 eur and M-real B added 0.50 pct to 3.99 eur .",1
4070,Financial Phrasebank,Performance in 2006 was impacted by the consolidation trend in the telecom sector and the overall and structural changes in the contract manufacturing market in telecommunications technology and industrial electronics .,0
4453,Financial Phrasebank,"The one dark spot on the horizon , however , was the company 's performance in the Finnish bottled water market .",0
4586,Financial Phrasebank,"Operating profit for the three-month period decreased from EUR1 .65 m while net sales increased from EUR14 .6 m , as compared to the corresponding period in 2005 .",0
104,Financial Phrasebank,Construction volumes meanwhile grow at a rate of 10-15 percent annually .,2
3959,Financial Phrasebank,"Tulikivi manufactures heat-retaining , soapstone and ceramic fireplaces , as well as natural stone products and utility ceramics .",1
3634,Financial Phrasebank,in Finland Finnish pharmaceutical company Orion Corporation OMX Helsinki : ORNAV said on Wednesday 7 January that it has concluded its personnel negotiations in Finland and will reduce the number of personnel by 205 .,0
772,Financial Phrasebank,Net cash flow from operations is expected to remain positive .,2
4397,Financial Phrasebank,EMSA Deputy Chairman of the Board Juri Lember told BNS on Wednesday that this was the first time he heard about the strike as the Swedish side had not informed the Estonian union yet .,0
3149,Financial Phrasebank,"Temporary lay-offs , affecting the entire workforce , will also be implemented .",0
3225,Financial Phrasebank,"The contracts of the employees , 96 of whom are blue-collar workers , will be ended between March and August 2011 .",0
4434,Financial Phrasebank,"Therefore , the company 's 2005 result will remain weaker than that of 2004 .",0
1938,Financial Phrasebank,"Shares in Royal and Sun Alliance continued to slide back from a 12-month high of 172p last month , after a potential suitor ruled itself out of a takeover bid .",0
4622,Financial Phrasebank,"Finnish construction company YIT is reducing the number of start-ups of market-financed residential units in 2007 to about 2,300 from the previously announced 2,700 .",0
4738,Financial Phrasebank,"In food trade , sales amounted to EUR320 .1 m , a decline of 1.1 % .",0
3336,Financial Phrasebank,The project also implies an underground parking lot for 56 vehicles .,1
2180,Financial Phrasebank,Production will expand to other of Elcoteq 's locations including Mexico and Hungary during 2010 .,2
4726,Financial Phrasebank,"Alma Media 's operating profit amounted to EUR 11.9 mn , down from EUR 15.0 mn a year earlier .",0
3770,Financial Phrasebank,The bank 's leasing arm Nordea Liising ended the year with a profit of 4.4 million euros .,1
1323,Financial Phrasebank,Ramirent is a leading company in machinery and equipment rentals for construction and industry .,2
2089,Financial Phrasebank,Cramo Group 's financial targets for 2010-2013 are sales growth higher than 10 percent per year ; return on equity above 15 percent .,2
754,Financial Phrasebank,"According to Viking Line 's Managing Director , Nils-Erik Eklund , the company 's Board of Directors is very satisfied with Viking Line 's performance .",2
1483,Financial Phrasebank,"`` The Intel Atom processor has had tremendous success in the marketplace since its launch over 2 years ago , '' said Pankaj Kedia , director of global ecosystem programs for Intel Corp. 's Ultra Mobility Group .",2
1724,Financial Phrasebank,"HELSINKI (Thomson Financial)- Kemira GrowHow swung into profit in its first quarter earnings on improved sales , especially in its fertilizer business in Europe , which is normally stronger during the first quarter .",2
3771,Financial Phrasebank,"The Board established a Remuneration Committee with following members : - Sari Baldauf Chairman - Tapio Hintikka - Heikki Westerlund In addition , the Board decided to appoint a Nomination Committee at a later stage .",1
496,Financial Phrasebank,It delivers a different user experience and enables us to widen the market we can address . '',2
4048,Financial Phrasebank,"Raw materials prices have surged in the past year , fueled in part because of the rapid industrialization of China , India and other developing nations .",0
829,Financial Phrasebank,Cision says the sale will return its U.K. operation to profitability .,2
3175,Financial Phrasebank,"The businesses to be divested offer dairy , edible fats , ready-meal and ice-cream packaging to multinational and local customers .",1
4515,Financial Phrasebank,"Rapala VMC Corporation STOCK EXCHANGE RELEASE October 10 , 2008 at 11.45 am Kaupthing Bank Oyj ( `` Kapthing '' ) has informed Rapala VMC Corporation ( `` Rapala '' ) that it has interrupted the liquidity providing for Rapala 's share for the time being .",0
35,Financial Phrasebank,"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",2
4375,Financial Phrasebank,"According to Finnish petrol station chain St1 's managing director Kim Wiio , the company was forced to make purchases with rising prices in the first half of 2008 , and now consumer prices are going down almost daily due to competition .",0
4063,Financial Phrasebank,"In January-June 2010 , diluted loss per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009 .",0
915,Financial Phrasebank,This resulted in improved sales figures in Sweden .,2
3701,Financial Phrasebank,Nordea will coordinate the syndicated loan .,1
2598,Financial Phrasebank,"The company offers payroll services , including payroll processing , payroll tax administration , and employee pay services , including direct deposit , check signing , and Readychex .",1
4836,Financial Phrasebank,"In the Baltic states the company reports net sales of EUR 11.9 mn , down from EUR 14.2 mn , and an operative EBIT of EUR -2.2 mn , down from EUR -1.7 mn .",0
1603,Financial Phrasebank,Tekla will implement the renewal in software versions which will be introduced in spring 2011 .,2
759,Financial Phrasebank,Combining this deep domain expertise with our Application Service Management ASM and outsourcing service offerings has now proved to be a winning combination .,2
4142,Financial Phrasebank,"The third applicant , Fortum , was dropped .",1
1303,Financial Phrasebank,One of Uponor 's promising future products is a hydronic cooling system .,2
4141,Financial Phrasebank,The terms and conditions of the Stock Option Scheme 2008 are available on the Company 's internet pages www.sanoma.com .,1
2179,Financial Phrasebank,"Previously , Vaahto Pulp has supplied headboxes with rectifier roll and dilution control technology for Stora Enso 's mill in Imatra , eastern Finland .",1
80,Financial Phrasebank,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,2
842,Financial Phrasebank,"For Teleste , the acquisition marks an entry into services business in a market where it has long been an established and significant supplier of products .",2
4498,Financial Phrasebank,"Continuing operations turned an operating loss of EUR 0.1 mn , a slight improvement from a loss of EUR 0.2 mn a year earlier .",2
3897,Financial Phrasebank,The report contains category level company and brand share as well as distribution share information for 2007 and 2008 .,1
2756,Financial Phrasebank,"Scanfil , a systems supplier and contract manufacturer to the communications sector , will give notice to 20 productional employees , and temporarily lay off 15 employees at the company 's plant in Sievi , in Finland .",0
4055,Financial Phrasebank,Finnish Bank of +àland +àlandsbanken has issued a profit warning .,0
3050,Financial Phrasebank,No decision on such sale of the now issued or existing treasury shares to YA Global has been made yet .,1
24,Financial Phrasebank,"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",2
4634,Financial Phrasebank,The repurchases shall decrease the distributable capital and reserves .,0
1727,Financial Phrasebank,It will focus on improving its profitability next year by streamlining operations .,2
2648,Financial Phrasebank,"The mall will be financed on a parity basis by Pearl Plaza LLC , the joint venture company established by the Chinese investor Shanghai Industrial Investment Holdings Co Ltd , and SRV Group .",1
134,Financial Phrasebank,"The transaction doubles Tecnomens workforse , and adds a fourth to their net sales .",2
